Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u 25V,C_0805_2012Metric,73.0,-93.5,180.0,top
C10,100n,C_0603_1608Metric,91.0,-100.0,90.0,bottom
C11,15p,C_0603_1608Metric,92.5,-107.5,-90.0,top
C12,15p,C_0603_1608Metric,86.5,-107.625,90.0,top
C13,100n,C_0603_1608Metric,105.225,-98.0,180.0,bottom
C14,100n,C_0603_1608Metric,95.0,-103.0,270.0,bottom
C15,100n,C_0603_1608Metric,104.5,-107.0,0.0,bottom
C16,100n,C_0603_1608Metric,88.0,-104.6,180.0,bottom
C17,100n,C_0603_1608Metric,90.975,-95.45,180.0,bottom
C2,1u 50V,C_0805_2012Metric,80.8,-95.45,0.0,top
C4,100n,C_0603_1608Metric,87.0,-94.0,90.0,top
C5,100n,C_0603_1608Metric,81.0,-103.725,90.0,top
C6,1u 50V,C_0805_2012Metric,91.25,-94.05,90.0,top
C7,100n,C_0603_1608Metric,88.0,-103.0,180.0,bottom
C8,100n,C_0603_1608Metric,76.5,-104.5,0.0,bottom
C9,1u 50V,C_0805_2012Metric,85.0,-94.0,90.0,top
D1,Green 0805,LED_0805_2012Metric,93.5,-100.0,-90.0,top
D2,Red 0805,LED_0805_2012Metric,96.0,-100.0,-90.0,top
D3,Yellow 0805,LED_0805_2012Metric,98.5,-100.0,-90.0,top
Q1,IRLML6402,SOT-23,105.5,-107.0,0.0,top
Q2,MMBT5551L,SOT-23,99.0,-107.5,0.0,top
Q3,MMBT5551L,SOT-23,99.9375,-94.45,180.0,bottom
R1,5.1k,R_0603_1608Metric,69.5,-101.5,0.0,bottom
R10,1k,R_0603_1608Metric,89.0,-105.0,180.0,top
R11,5.1k,R_0603_1608Metric,113.45,-97.95,270.0,bottom
R12,5.1k,R_0603_1608Metric,105.2,-102.15,180.0,bottom
R14,270R,R_0603_1608Metric,93.5,-95.0,90.0,top
R15,270R,R_0603_1608Metric,96.0,-95.0,90.0,top
R16,270R,R_0603_1608Metric,98.5,-95.0,90.0,top
R17,5.1k,R_0603_1608Metric,101.675,-93.5,0.0,top
R18,270R,R_0603_1608Metric,102.5,-98.825,90.0,bottom
R19,5.1k,R_0603_1608Metric,95.825,-94.5,180.0,bottom
R2,5.1k,R_0603_1608Metric,76.5,-97.7,180.0,bottom
R20,0R,R_0805_2012Metric,112.0,-93.5,180.0,top
R21,5.1k,R_0603_1608Metric,93.5,-103.0,90.0,bottom
R22,270R,R_0603_1608Metric,109.5,-107.0,90.0,top
R3,5.1k,R_0603_1608Metric,102.5,-107.0,90.0,top
R4,5.1k,R_0603_1608Metric,98.5,-105.0,0.0,top
R5,5.1k,R_0603_1608Metric,79.0,-100.5,-90.0,top
R6,5.1k,R_0603_1608Metric,81.55,-100.2,0.0,top
R7,5.1k,R_0603_1608Metric,81.575,-98.3,0.0,top
R8,27R,R_0603_1608Metric,76.5,-99.5,180.0,bottom
R9,27R,R_0603_1608Metric,76.5,-101.0,0.0,bottom
SW1,B3FS-1000P,SW_SPST_Omron_B3FS-100xP,104.75,-100.0,90.0,top
U1,XC6206P332MR-G,SOT-23-3,77.0,-94.5,90.0,top
U2,LSM6DS3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,78.0,-103.5,0.0,top
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,87.4,-100.0,0.0,top
U4,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,85.0,-99.0,180.0,bottom
Y1,X322512MSB4SI,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,89.5,-107.6,180.0,top
