### Footprint positions - created on 2025-10-08T21:57:27+0100 ###
### Printed by KiCad version 9.0.4
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val             Package                                          PosX       PosY       Rot  Side
C1        4.7u_25V        C_0805_2012Metric                             73.0000   -93.5000  180.0000  top
C2        1u_50V          C_0805_2012Metric                             80.8000   -95.4500    0.0000  top
C3        4.7u_25V        C_0805_2012Metric                            112.5000  -106.5000    0.0000  top
C4        100n            C_0603_1608Metric                             87.0000   -94.0000   90.0000  top
C5        100n            C_0603_1608Metric                             81.0000  -103.7250   90.0000  top
C6        1u_50V          C_0805_2012Metric                             91.2500   -94.0500   90.0000  top
C9        1u_50V          C_0805_2012Metric                             85.0000   -94.0000   90.0000  top
C11       15p             C_0603_1608Metric                             92.5000  -107.5000  -90.0000  top
C12       15p             C_0603_1608Metric                             86.5000  -107.6250   90.0000  top
D1        Green_0805      LED_0805_2012Metric                           93.5000  -100.0000  -90.0000  top
D2        Red_0805        LED_0805_2012Metric                           96.0000  -100.0000  -90.0000  top
D3        Yellow_0805     LED_0805_2012Metric                           98.5000  -100.0000  -90.0000  top
Q1        IRLML6402       SOT-23                                       105.5000  -107.0000    0.0000  top
Q2        MMBT5551L       SOT-23                                        99.0000  -107.5000    0.0000  top
R3        5.1k            R_0603_1608Metric                            102.5000  -107.0000   90.0000  top
R4        5.1k            R_0603_1608Metric                             98.5000  -105.0000    0.0000  top
R5        5.1k            R_0603_1608Metric                             79.0000  -100.5000  -90.0000  top
R6        5.1k            R_0603_1608Metric                             81.5500  -100.2000    0.0000  top
R7        5.1k            R_0603_1608Metric                             81.5750   -98.3000    0.0000  top
R10       1k              R_0603_1608Metric                             89.0000  -105.0000  180.0000  top
R14       270R            R_0603_1608Metric                             93.5000   -95.0000   90.0000  top
R15       270R            R_0603_1608Metric                             96.0000   -95.0000   90.0000  top
R16       270R            R_0603_1608Metric                             98.5000   -95.0000   90.0000  top
R17       5.1k            R_0603_1608Metric                            101.6750   -93.5000    0.0000  top
R20       0R              R_0805_2012Metric                            112.0000   -93.5000  180.0000  top
R22       270R            R_0603_1608Metric                            109.5000  -107.0000   90.0000  top
SW1       B3FS-1000P      SW_SPST_Omron_B3FS-100xP                     104.7500  -100.0000   90.0000  top
U1        XC6206P332MR-G  SOT-23-3                                      77.0000   -94.5000   90.0000  top
U2        LSM6DS3         LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y        78.0000  -103.5000    0.0000  top
U3        RP2040          QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm           87.4000  -100.0000    0.0000  top
Y1        X322512MSB4SI   Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm    89.5000  -107.6000  180.0000  top
## End
